,age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,time
29,0.037277287,0.010221193,0.079255881,0.149665849,0.065302513,0.0003492,0.018744625,0.021575478,0.015196476,0.08
30,0.037250692,0.010187862,0.079430836,0.15008343,0.065588213,0.001149199,0.018672301,0.021604575,0.015127353,0.11
31,0.037350168,0.010208863,0.07888567,0.149900078,0.06527047,0.001819363,0.018809279,0.02166317,0.015195048,0.15
32,0.037212421,0.010315795,0.079534425,0.149701191,0.065334451,0.001409149,0.018773905,0.021643924,0.015216379,0.09
33,0.037292219,0.010182756,0.079251474,0.149683106,0.065458984,0.000332803,0.018741702,0.021667941,0.01524677,0.13
34,0.037257022,0.010254188,0.07931285,0.149968094,0.065377623,0.000800227,0.018728291,0.021736332,0.015225573,0.09
35,0.037215944,0.010284506,0.079462151,0.14958165,0.065088224,0.002456939,0.018712051,0.021595968,0.015277217,0.13
36,0.037306175,0.010310836,0.079411271,0.148833749,0.065459863,0.00224654,0.0188102,0.021659075,0.015206431,0.08
37,0.037237822,0.010171853,0.07913929,0.14965719,0.065393045,0.000981729,0.01878598,0.021615362,0.015162893,0.11
38,0.03738011,0.010158962,0.079307057,0.149406223,0.065405956,0.000538534,0.018775925,0.021612655,0.015227862,0.14
39,0.037479987,0.010211466,0.079279329,0.149452183,0.065442803,0.001217819,0.018745047,0.021634019,0.015331799,0.14
40,0.037266165,0.010169289,0.079293045,0.149545788,0.065439136,0.00038163,0.018753983,0.021584677,0.01517954,0.11
41,0.037363778,0.010234686,0.079269635,0.149826924,0.0652185,0.002280139,0.018788238,0.021755508,0.015132816,0.13
42,0.037415908,0.010201445,0.079362831,0.149772227,0.065427826,0.001048409,0.0187608,0.021395017,0.015174641,0.11
43,0.037312708,0.010217563,0.07933764,0.14957838,0.065436155,0.000656364,0.018743072,0.021738181,0.015323291,0.09
44,0.037379389,0.010170364,0.079413735,0.149636917,0.065425275,0.000565001,0.018783165,0.021621572,0.015207541,0.08
45,0.03743708,0.010189072,0.079514914,0.149586497,0.065389145,0.004370266,0.018721618,0.021434949,0.015311506,0.07
46,0.037212474,0.01023,0.079335096,0.149640713,0.065452911,0.000500919,0.018757201,0.021564132,0.01516452,0.1
47,0.037416744,0.010441131,0.079233997,0.149804953,0.065296195,0.002637684,0.018604645,0.021675133,0.015182822,0.11
48,0.037129595,0.010151418,0.079328927,0.149975789,0.06574252,0.001561243,0.018823397,0.021670444,0.015214638,0.12
49,0.037154942,0.010175049,0.07958245,0.14979056,0.065084523,0.001709913,0.018748051,0.021491134,0.015056368,0.14
50,0.037313334,0.010218409,0.079691476,0.149683231,0.065377393,0.001444198,0.018737497,0.021804322,0.015183403,0.13
51,0.037128519,0.010221984,0.079357031,0.149801423,0.065427445,0.001725777,0.018789323,0.021647688,0.015203532,0.13
52,0.037233512,0.010204569,0.079375905,0.149806353,0.065409089,0.000794885,0.018753077,0.021724897,0.015187711,0.09
53,0.037382018,0.010211872,0.079372309,0.150520583,0.065142093,0.002174457,0.018749585,0.021494888,0.015183351,0.09
54,0.037277667,0.010226161,0.079206179,0.149572142,0.065449914,0.000421513,0.018755071,0.021569015,0.015177655,0.09
55,0.037295741,0.010281554,0.079266651,0.149587404,0.06533267,0.001015535,0.01874501,0.021692743,0.015161994,0.13
56,0.037418831,0.010162353,0.079308744,0.149978064,0.065491835,0.001348556,0.018757751,0.021726815,0.015209096,0.14
57,0.03726755,0.010235498,0.079152643,0.149778195,0.065320798,0.000517701,0.018753909,0.021615012,0.015186654,0.11
58,0.037357198,0.010205664,0.079331757,0.149582548,0.06534727,0.000473063,0.018751622,0.021686431,0.015197241,0.11
59,0.037184428,0.010222434,0.079526729,0.150166532,0.065484444,0.001456529,0.018771303,0.021675857,0.015193294,0.16
60,0.037298177,0.010177517,0.079283554,0.149522805,0.065482511,0.000398819,0.018796085,0.021598958,0.015175205,0.06
average,0.03731291,0.010212593,0.079330071,0.149672185,0.065377692,0.001239586,0.018754474,0.02162469,0.015205249,0.1095
std.dev,8.77939E-05,5.04977E-05,0.000149665,0.000246947,0.000136803,0.00079005,4.72961E-05,9.05917E-05,5.52471E-05,0.023392379
z-score,-3.564138499,-4.209958264,-62.33977937,-2.721977357,-10.0706289,2.228231401,-15.95211874,-6.895665641,-3.715105878,
p-value,0.00036,0.000026,0.00001,0.0065,0.00001,0.025,0.00001,0.00001,0.0002,
significance,Significant,Significant,Significant,Significant,Significant,Significant,Significant,Significant,Significant,
